ID,模块,功能名称,功能描述,优先级,负责人,状态,验收要点,开发备注
MEM-02,会员,会员列表,在授权范围内分页显示会员基本信息和状态,P0,Xingzhou PENG,待开发,顺序稳定且分页不漏项；空数据有提示；不附带体测明细,详情与搜索拆至 MEM-04、MEM-05
MEM-03,会员,修改会员资料,修改姓名及联系方式等允许编辑的档案字段,P1,Xingzhou PENG,待开发,非法输入不覆盖旧值；修改不改变会员编号或卡余额,停用拆至 MEM-06
MEM-04,会员,会员详情,按编号展示本人或授权范围内的会员资料,P0,Xingzhou PENG,待开发,显示目标会员及关联业务入口；不存在编号友好提示；跨会员越权被拒绝,由 MEM-02 拆分
MEM-05,会员,会员搜索,按会员编号精确查找或按姓名关键词筛选,P1,Xingzhou PENG,待开发,同名会员用编号区分；空结果可返回；搜索结果仍受权限限制,由 MEM-02 拆分
MEM-06,会员,停用与恢复会员,处理未结束业务后停用档案或恢复使用,P1,Xingzhou PENG,待开发,有未结束预约时拒绝直接停用；停用后不能新办业务；原预约和收款可追溯,由 MEM-03 拆分
CARD-01,会员卡,创建卡产品,新增私教课产品或次卡产品，使用固定权益规则并设置名称和价格,P0,Xingzhou PENG,待开发,购买 20/64/256 节私教课分别获得 30/90/365 天门禁；次卡无期限、10 次入场、私教课节数为 0；价格为正；非法参数不保存,产品查询维护拆至 CARD-05 至 CARD-07；服务与 SQL 对固定值、可空字段使用同一规则
CARD-02,会员卡,办理会员卡,为会员办理指定产品并在同一事务内登记实收,P0,Xingzhou PENG,待开发,卡及收款一起提交或回滚；期限卡在会员锁内自动计算生效日；次卡当天生效；同一请求只生成一张卡一笔收款,与Mingjin LI对接 PAY-04；续购拆至 CARD-08
CARD-03,会员卡,会员持卡列表,按会员查询门禁卡有效期、已购私教节数及已用/占用节数,P0,Xingzhou PENG,待开发,期限卡最后有效日整个 23:59 分钟有效，次日 00:00 失效；次卡显示剩余入场次数；私教剩余和占用清楚；到期余额显示为失效历史，不能显示为可预约,单卡权益详情拆至 CARD-09
CARD-04,会员卡,到期与私教节数不足提醒,筛选即将到期或可用私教节数不足的会员卡,P1,Xingzhou PENG,待开发,到期提醒组合 valid_on 与 expires_before；课节提醒只筛私教课节数大于 0 的有效期限卡，剩余减占用可为 0；排除次卡及未生效、过期、作废卡,门禁日期提醒和私教余额提醒分别查询；当前未提供入场次数阈值筛选
CARD-05,会员卡,卡产品查询,列出卡产品并按编号查看价格和完整权益规则,P0,Xingzhou PENG,待开发,停售标识清楚；不存在产品有提示；产品展示与办卡使用的规则一致,由 CARD-01 拆分
CARD-06,会员卡,修改卡产品,更改后续销售使用的名称价格和权益参数,P1,Xingzhou PENG,待开发,私教课节数 20/64/256 与门禁天数 30/90/365 的组合保持固定；次卡无期限、10 次且不含私教课；新售价不覆盖已售快照；非法参数不保存,由 CARD-01 拆分
CARD-07,会员卡,停售与恢复卡产品,调整产品是否允许继续销售,P1,Xingzhou PENG,待开发,停售产品不能新办卡；已有卡继续按原权益使用；不删除历史引用,由 CARD-01 拆分
CARD-08,会员卡,会员卡续购,为会员选择产品续购新卡，由服务自动接续生效日,P1,Xingzhou PENG,待开发,期限卡接在全部未作废期限卡末尾，包括未来卡；无未到期卡则今天生效；不再加一天；不接收手选日期；新购课节独立计算；并发购卡不重叠；重试不重复收费,已确认自动接续；未来卡可提前约有效期内的课；旧卡课节不转移；次卡当天生效且不参与日期接续；复用 CARD-02 与 PAY-04
CARD-09,会员卡,单卡权益详情,查看门禁卡归属、售出快照、有效期和私教节数余额,P0,Xingzhou PENG,待开发,旧卡按售出快照解释；期限卡显示有效期，次卡显示剩余入场次数；账面未占用私教等于剩余减占用，到期后不可新预约；无权限不能查看,由 CARD-03 拆分
CARD-10,会员卡,门禁资格查询,查看指定会员当前是否可入场及可用门禁卡,P0,Xingzhou PENG,待开发,先查当日入场，存在则可同日再入场；无记录再查当前有效卡；次卡上午用完最后一次仍可同日再入场；查询不扣次，账号及会员状态仍校验,ProductService.get_today_entry 与 list_cards；CLI 为 ProductHandler.check_entry；新生效日自动计算，不影响查询结果
CARD-11,会员卡,入场登记与次卡扣次,登记会员当日首次入场，次卡当日扣 1 次，期限卡扣 0 次,P0,Xingzhou PENG,待开发,会员与门店日期唯一；同日重复或换用自己的卡不再扣次；新日重验资格；记录、扣次和请求结果同事务；同请求跨午夜重试不再扣；余额不能为负,已定 EntryInput/EntryView 和 gym_entries；本人或前台/管理员登记；日期由服务生成；不赠私教、不接硬件；提交未知用 get_entry_by_request 核实
COACH-01,教练,教练建档,管理员创建教练资料并关联教练账号,P0,Weijie ZHOU,待开发,账号角色与档案匹配；重复关联被拒绝；资料重启仍在,查询编辑停用拆至 COACH-03 至 COACH-05
COACH-02,教练,教练课表查询,教练查看本人课表且管理员查看指定教练安排,P0,Weijie ZHOU,待开发,按日期显示正确课次及状态；教练不能以查询参数越权查看学员资料,
COACH-03,教练,教练列表与详情,按姓名或编号查询教练及专长和启用状态,P1,Weijie ZHOU,待开发,同名教练可用编号区分；空结果有提示；停用状态清晰,由 COACH-01 拆分
COACH-04,教练,修改教练资料,维护教练姓名及专长等基础信息,P1,Weijie ZHOU,待开发,校验失败保留原值；不直接修改账号角色或已排课时间,由 COACH-01 拆分
COACH-05,教练,停用与恢复教练,管理员处理课次后停用或恢复教练,P1,Weijie ZHOU,待开发,仍有未结束课次时拒绝停用；停用教练不能新排课；历史课次保留,由 COACH-01 拆分
COURSE-01,课程,创建课程模板,创建私教课程模板的名称和默认时长,P0,Weijie ZHOU；Yuxi ZHU,待开发,名称非空；默认时长为 1–150 的整数分钟；课程类型固定为 private 私教；越界不保存,场地操作拆至 COURSE-07 至 COURSE-09；共同负责；开工前在本备注细分本次任务
COURSE-02,课程,创建课次,指定课程、教练、场地和时间发布一节私教课,P0,Weijie ZHOU；Yuxi ZHU,待开发,教练及场地不撞期；相邻时段可排；容量固定为 1；起止时间差等于模板时长且不超过 150 分钟，超出 1 秒也拒绝；不限定营业时段,共同负责；开工前细分任务；排课保存名称及类型快照；提交未知按原请求编号核实
COURSE-03,课程,取消课次,管理员在允许时间取消课次并处理全部关联预约,P0,Weijie ZHOU；Yuxi ZHU,待开发,所有预约与占用额度一并释放；重复取消不重复释放；中途失败整体回滚,已确定开课前取消；关联预约按规则释放私教节数占用；对接 BOOK-02；共同负责；开工前细分任务
COURSE-04,课程,课程模板查询,列出课程模板并查看课程类型及默认时长,P0,Weijie ZHOU；Yuxi ZHU,待开发,按名称或启用状态筛选；类型只接受 private；不存在记录有提示；区分课程模板与具体课次,由 COURSE-01 拆分；共同负责；开工前在本备注细分本次任务
COURSE-05,课程,修改课程模板,编辑名称及默认时长等后续排课使用的信息,P1,Weijie ZHOU；Yuxi ZHU,待开发,类型固定为 private；默认时长只接受 1–150 的整数分钟；修改名称和时长不改变已发布课次的快照和起止时间,由 COURSE-01 拆分；共同负责；开工前在本备注细分本次任务
COURSE-06,课程,归档与恢复课程模板,停止或恢复使用课程模板创建新课次,P1,Weijie ZHOU；Yuxi ZHU,待开发,归档后不能据此新排课；已有课次及预约仍可处理和查询,由 COURSE-01 拆分；共同负责；开工前在本备注细分本次任务
COURSE-07,课程,新增场地,录入场地名称及最大容纳人数,P0,Weijie ZHOU；Yuxi ZHU,待开发,容量必须为正；成功后可在排课时选择,由 COURSE-01 拆分；共同负责；开工前在本备注细分本次任务
COURSE-08,课程,场地列表与详情,查询场地容量状态与已排课时段,P0,Weijie ZHOU；Yuxi ZHU,待开发,容量状态与排课使用值一致；日期筛选正确；不存在场地有提示,由 COURSE-01 拆分；共同负责；开工前在本备注细分本次任务
COURSE-09,课程,修改与停用场地,维护场地资料并限制有未结束课次时的变更,P1,Weijie ZHOU；Yuxi ZHU,待开发,缩小容量不能使已有课次超限；未结束课次处理前不能停用；保留历史,由 COURSE-01 拆分；共同负责；开工前在本备注细分本次任务
COURSE-10,课程,课表浏览与课次详情,按日期或教练筛选私教课表并查看时间、状态和预约情况,P0,Weijie ZHOU；Yuxi ZHU,待开发,余位与有效预约一致；满员取消等状态清晰；普通会员看不到其他学员资料,由 BOOK-01 拆分；共同负责；开工前在本备注细分本次任务
BOOK-01,预约,创建预约,本人或授权前台为会员选择课次与卡并预约,P0,Weijie ZHOU；Yuxi ZHU,待开发,拒绝满员、节数不足、重复或撞期；预约与私教占用一起提交；同卡提供日期资格和已购课节；拒绝次卡；允许未生效期限卡提前预约有效期内课程；失败无残留,共同负责；提交未知沿原请求编号核实；membership_id 不组合新旧卡；成功预约恢复本教练体测更新；课节配额为 20/64/256
BOOK-02,预约,取消预约,在开课前取消未签到预约，释放名额和私教节数占用,P0,Weijie ZHOU；Yuxi ZHU,待开发,仅允许在开课前取消未签到预约；成功后释放私教节数占用；重复请求不重复释放；开课后或已签到按规则拒绝,starts_at 之前取消；最后有效预约取消时停止向本教练更新体测，历史仍可看；对接 COURSE-03；共同负责
BOOK-03,预约,会员预约历史,会员按状态或日期查看本人预约与使用的卡,P0,Weijie ZHOU；Yuxi ZHU,待开发,只能看到本人记录；取消和完成等状态真实；无记录时有提示,教练名单与前台查询拆至 BOOK-04、BOOK-05；共同负责；开工前在本备注细分本次任务
BOOK-04,预约,教练学员名单,教练查看本人私教课的预约会员及签到状态,P0,Weijie ZHOU；Yuxi ZHU,待开发,名单人数与预约一致；取消、签到和缺席状态清楚；非本课教练无权访问,由 BOOK-03 拆分；提供给 ATT-01 签到入口；共同负责；开工前在本备注细分本次任务
BOOK-05,预约,前台预约查询,前台或管理员按会员课次日期和状态核对预约,P1,Weijie ZHOU；Yuxi ZHU,待开发,筛选条件组合有效；不存在记录有提示；列表不暴露无关体测数据,由 BOOK-03 拆分；共同负责；开工前在本备注细分本次任务
ATT-01,签到与消课,课程签到与教练补签,会员自行签到，教练、前台或管理员代签到；本课教练或管理员更正到场选择,P0,Yihao QIAN,待开发,开课起至结算前可签到或更正；本课教练可下课后补签，记录实际操作时刻；重复不重复写；更正不扣节数；取消、已完成或缺席拒绝更正,首版已确认只支持结算前更正，不开放结算后冲正；前台无更正权限；原卡事后到期不阻止合法原预约补签；对接 BOOK-04
ATT-02,签到与消课,消课,本课教练或管理员确认已完成私教课并登记私教节数消费,P0,Lvzhen ZHOU,待开发,已签到且已下课才可消课；每次扣 1 节；重复只扣一次；消费、预约及余额一起提交；不扣门禁次数；原上课日在卡有效期内可事后结算,调用前显示扣 1 节并确认结算后不支持更正；与 CARD-09、ATT-01 对接；无待处理预约的已结束课次由 complete_session 收尾
ATT-03,签到与消课,缺席处理,课次结束后处理未签到的私教预约并释放占用,P1,Lvzhen ZHOU,待开发,同一预约只处理一次；不遗留私教节数占用；不扣私教节数,下课后处理，释放占用不扣节数；先确认标记缺席后首版不再补签
REVIEW-01,评价,提交课程评价,会员对本人已完成预约填写评分与留言,P0,Yihao QIAN,待开发,只接受 1 至 5 整数评分；未完成或他人预约拒绝；重复提交不生成第二条评价,
REVIEW-02,评价,查看本人评价,会员查询自己提交的课程评价,P1,Yihao QIAN,待开发,能对应到课次和提交内容；他人评价不混入；不存在记录有提示,由 REVIEW-01 拆分
EQ-01,器械,器械建档,录入器械编号名称及位置,P1,Tuao SONG,待开发,资产编号唯一；必填项为空拒绝；保存后可查询,查询与资料维护拆至 EQ-03 至 EQ-05
EQ-02,器械,器械报修,登记故障描述并把可用器械转为维修中,P1,Tuao SONG,待开发,报修记录与状态同时保存；已报废器械拒绝报修；失败不留半条记录,维修完成拆至 EQ-06
EQ-03,器械,器械列表与筛选,按编号名称位置或状态查找器械,P1,Tuao SONG,待开发,能筛出维修中设备；结果分页或排序稳定；空结果有提示,由 EQ-01 拆分
EQ-04,器械,器械详情与维修历史,显示器械资料及历次报修和修复记录,P1,Tuao SONG,待开发,历史顺序正确；未修复与已修复可区分；记录指向正确器械,由 EQ-01 拆分
EQ-05,器械,修改器械资料,修改名称位置等基础资料,P1,Tuao SONG,待开发,修改不改变资产编号和维修历史；不能用编辑资料绕过状态处理,由 EQ-01 拆分
EQ-06,器械,完成维修,记录维修完成时间并恢复器械可用状态,P1,Tuao SONG,待开发,对应报修和器械状态一起更新；重复完成不重复写入；错误状态拒绝,由 EQ-02 拆分
EQ-07,器械,器械报废,归档不再使用的器械并保留记录,P1,Tuao SONG,待开发,未结束维修先处理；报废后不再可用或新报修；维修历史仍可查,由 EQ-01 拆分
MEASURE-01,体测,录入体测,授权教练记录会员身高体重及可选体脂和测量时间,P1,Tuao SONG；Mingjin LI,待开发,身高 100–250 cm、体重 30–150 kg，含边界；体脂可空且 0–100%；本教练须有当前有效预约；created_at 由服务生成；历史记录不可原地覆盖,永久历史查看权不等于新增或编辑权限；时间和授课关系按架构“体测权限规则”；共同负责；开工前细分任务
MEASURE-02,体测,体测历史与详情,会员查看本人记录；教练保留历史查看权，有效预约结束后暂停更新，再次预约恢复,P1,Tuao SONG；Mingjin LI,待开发,无历史预约不可看；取消或末次课结束后仍可看当时已有数据，后录入数据不可见；再次有效预约恢复最新历史；列表总数和详情同样受限；补录旧测量日期不能绕过,范围按本教练历史预约截止与实际 created_at 计算；延迟签到或结算不延长范围；其他教练预约不恢复本教练更新；不新建权限表；共同负责
MEASURE-03,体测,体测变化对比,在两次测量间展示同一会员的数值变化,P1,Tuao SONG；Mingjin LI,待开发,不同会员不能混比；两条记录同一查询时刻和可见范围；任一条不可见不泄露差值；缺体脂可处理；不足两条有提示,由 MEASURE-02 拆分；仅作记录对比，不作医疗判断；共同负责
PAY-01,收款,收款流水列表,授权员工查询办卡产生的模拟实收流水,P0,Mingjin LI,待开发,列表金额与会员卡一致；不显示密码等无关字段；历史流水不能编辑覆盖,详情筛选拆至 PAY-02、PAY-03；写入见 PAY-04
PAY-02,收款,收款明细,按流水编号查看金额方式时间及对应会员和卡,P0,Mingjin LI,待开发,能从一笔收款追溯到一张已售卡；不存在或无权记录有提示,由 PAY-01 拆分
PAY-03,收款,收款筛选,按时间范围会员或收款方式筛选流水,P1,Mingjin LI,待开发,时间范围前含后不含；条件组合有效；无数据返回 Page(items=[]、total=0),由 PAY-01 拆分
PAY-04,收款,办卡事务中的收款写入,向办卡流程提供写入收款记录和查询防重结果的支持,P0,Mingjin LI,待开发,一张新卡只有一笔收款；重复请求不多收费；收款失败时卡也回滚,由 CARD-02 拆分；与Xingzhou PENG共同对齐 CARD-02、CARD-08；复用办卡事务，不另设独立收款菜单
REPORT-01,报表,实收汇总,管理员按日期范围查询实收笔数和金额,P0,Mingjin LI,待开发,合计等于对应流水；边界日期正确；无流水为零；消课不增加实收,
REPORT-02,报表,会员与持卡统计,按当前启用及有效期等状态统计会员和卡；统计时刻由服务生成,P1,Mingjin LI,待开发,卡按作废、未生效、到期、入场用尽、有效互斥分类；合计核对全部卡；到期私教课余额仅为历史，不计可用权益；区分会员人数与卡张数,课程统计拆至 REPORT-04；当前快照，不支持历史状态回放
REPORT-03,报表,导出报表,导出当前授权范围和筛选条件下的 CSV,P1,Mingjin LI,待开发,列与金额和屏幕一致；中文可打开；用户文本不会触发表格公式；无权字段不导出,
REPORT-04,报表,课程预约与到课统计,按课次或时间范围统计预约签到完成及缺席情况,P1,Mingjin LI,待开发,取消记录与有效预约分开统计；分母为零时有明确显示；口径可与原始记录核对,由 REPORT-02 拆分
REPORT-05,报表,教练授课统计,管理员按教练汇总课次数和到课人次,P1,Mingjin LI,待开发,取消课次不计已授课；共同日期口径一致；空数据返回零,由 REPORT-02 拆分
LOG-01,异常与日志,异常类型与统一处理入口,在 src/errors/ 归类异常并统一返回 ErrorResult 中文处理结果,P0,Jiafeng YE,待开发,CLI 和 TUI 使用同一入口；已知错误可恢复；账号失效回登录；严重错误退出；提交未知结果先核实,数据回滚由服务负责；处理器不直接打印或调用数据库；返回格式见架构“错误处理”
LOG-02,异常与日志,业务操作日志,记录关键写操作结果及操作者和请求编号,P0,Jiafeng YE,待开发,成功提交后才记成功；可定位相关记录；不含密码完整联系方式或体测值,由 LOG-01 拆分
LOG-03,异常与日志,系统错误日志与脱敏,统一记录意外异常堆栈及数据库失败并隐藏敏感内容,P0,Jiafeng YE,待开发,同一异常只记录一次；数据库错误参数不泄露凭据；日志失败不把已提交业务报告为失败,由 LOG-01 拆分
LOG-04,异常与日志,管理员日志浏览,通过固定快照按时间级别操作人和请求编号查询日志,P1,Jiafeng YE,待开发,只有管理员可用；筛选和翻页沿用同一快照；刷新重取快照；损坏行计数但不泄露原始敏感内容,包含 AuthService.open_log_snapshot/query_logs 和 python -m src.cmd.logs 本机入口
TEST-01,测试,模型与服务测试,组织模块负责人验证规则和边界及固定返回格式,P0,Lvzhen ZHOU,开发中,覆盖日期金额次数和状态；查询零条一条多条均返回 Page；详情或异常类型固定；拒绝后无残留修改,Lvzhen ZHOU 统筹；各模块负责人补本模块用例；格式定义见架构“公共类型定义”；已增加静态格式检查，尚不能替代业务测试
TEST-02,测试,数据库持久化与回滚测试,用独立 MySQL 测试库验证约束及原子写入,P0,Lvzhen ZHOU,待开发,重启记录仍在；办卡预约和消课故障注入不留部分写入；不污染业务库,各相关模块负责人参与；并发场景拆至 TEST-06
TEST-03,测试,CLI 主流程演示,从 CLI 用合成数据走通办卡至评价和报表,P0,Lvzhen ZHOU,待开发,无需 TUI 依赖即可复现；所有步骤操作实际数据；记录版本及验证结果,各业务负责人配合联调
TEST-04,测试,CLI 交互测试,验证公共输入菜单分发和各模块交互,P0,Lvzhen ZHOU,待开发,错误输入可继续；取消不触发写服务；退出正常；未实现操作显示待接入提示且不伪装成功,由 TEST-03 拆分；各模块负责人补各自操作处理器用例
TEST-05,测试,权限与归属测试,直接调用服务验证各角色允许及拒绝的操作,P0,Lvzhen ZHOU,待开发,会员跨人、教练跨课被拒绝；体测历史保留、停止更新、再次预约恢复；详情与分页总数及对比一致；补录旧日期不绕过；停用账号无效,由 TEST-01 拆分；与Jiafeng YE及各模块负责人对接
TEST-06,测试,并发与重复请求测试,用独立数据库连接同时预约取消或消课,P0,Lvzhen ZHOU,待开发,最后私教名额和已购课节不超卖；会员并发续购自动接续；同日并发入场只扣一次；跨午夜重试复用原结果；卡、收款、扣次任一步失败不留部分记录,由 TEST-02 拆分；与会员卡课程预约及消课负责人对接
TEST-07,测试,新环境复现与运行指引,从干净环境按说明安装初始化和启动 CLI,P0,Lvzhen ZHOU,待开发,另一位组员可按步骤运行；说明包含目录和预期结果；TUI 依赖可不装,由 TEST-03 拆分；实际验证后再写命令和结果
EXT-01,后续扩展,会员卡冻结与延期,在业务规则明确后支持冻结和调整有效期,P2,Lvzhen ZHOU,待确认,先确认是否允许未结预约及如何计算延期；有记录且不破坏消费历史,不进入首轮；退款拆至 EXT-03
EXT-02,后续扩展,预约候补,满员后候补并在取消时按顺序递补,P2,Lvzhen ZHOU,待确认,递补顺序明确；递补前重验卡和时间冲突；不超出容量,不进入首轮
EXT-03,后续扩展,退卡与退款,确认剩余权益与金额规则后记录退卡和退款,P2,Lvzhen ZHOU,待确认,退款有独立可追溯记录；重复请求不重复退；不覆盖原收款,由 EXT-01 拆分；不进入首轮；与会员卡及收款负责人对接
